Accident_ID,Date_Time,Location,Vehicle_Type,Weather_Condition,Road_Condition,Cause,Accident_Report
225d799d-775c-46f8-8de0-22b5aa90e346,2024-08-07 08:45:30,Crimson Bend,Car,Stormy,Oily,Driver distraction due to mobile phone,"On a stormy day, a car encountered an accident at Crimson Bend due to driver distraction due to mobile phone. The road was oily, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
368c995b-7872-47f2-b4c3-09b8fb6c3eaf,2024-09-17 13:23:30,Silverlake Roundabout,Auto Rickshaw,Snowy,Icy,Slippery road due to rain,"On a snowy day, a auto rickshaw encountered an accident at Silverlake Roundabout due to slippery road due to rain. The road was icy, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
f2f4b730-7e67-4d41-946f-a3eb46ee4761,2023-12-15 01:19:30,Velora Market Lane,Car,Clear,Oily,Potholes causing vehicle imbalance,"On a clear day, a car encountered an accident at Velora Market Lane due to potholes causing vehicle imbalance. The road was oily, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
20ddf0ae-11d6-4ed6-a681-c0b3be3c0699,2023-10-23 00:48:30,Griffin Gate,Truck,Overcast,Wet,Poor visibility in fog,"On a overcast day, a truck encountered an accident at Griffin Gate due to poor visibility in fog. The road was wet, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
6ee39b17-1f50-4db2-8568-d4cd3139b5ec,2024-08-27 13:03:30,Maplewood Junction,Truck,Snowy,Under Maintenance,Collision due to sudden lane change,"On a snowy day, a truck encountered an accident at Maplewood Junction due to collision due to sudden lane change. The road was under maintenance, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
d978df47-b4a3-4e7d-b207-731b62f122f7,2024-08-30 03:08:30,Duskmire Intersection,Bike,Snowy,Dry,Poor visibility in fog,"On a snowy day, a bike encountered an accident at Duskmire Intersection due to poor visibility in fog. The road was dry, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
66780576-7e96-46dc-a89a-e7c8ee0d8500,2024-04-09 03:59:30,Zephyr Lane,SUV,Overcast,Oily,Potholes causing vehicle imbalance,"On a overcast day, a suv encountered an accident at Zephyr Lane due to potholes causing vehicle imbalance. The road was oily, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
bd3040c7-e08e-4029-9483-42eb4094e160,2024-11-12 08:29:30,Maplewood Junction,Truck,Rainy,Oily,Driver distraction due to mobile phone,"On a rainy day, a truck encountered an accident at Maplewood Junction due to driver distraction due to mobile phone. The road was oily, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
25890dad-4e5d-4322-8ed1-cede212c4794,2024-06-16 14:45:30,Lumen Creek Boulevard,Bicycle,Rainy,Icy,Improper signage near construction site,"On a rainy day, a bicycle encountered an accident at Lumen Creek Boulevard due to improper signage near construction site. The road was icy, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
7cc8c159-ae7a-4343-b2a5-90969e0fdd36,2024-12-07 20:42:30,Velora Market Lane,Auto Rickshaw,Rainy,Damaged,Improper signage near construction site,"On a rainy day, a auto rickshaw encountered an accident at Velora Market Lane due to improper signage near construction site. The road was damaged, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
107e235a-059b-4b1e-8ef4-c11458bdcea6,2024-10-21 09:37:30,Moonvale Cross,Car,Stormy,Dry,Brake failure on descent,"On a stormy day, a car encountered an accident at Moonvale Cross due to brake failure on descent. The road was dry, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
7269b1d5-ebdc-48d6-87f1-7ea3fce4a77e,2024-06-26 15:26:30,Griffin Gate,Van,Stormy,Icy,Driver distraction due to mobile phone,"On a stormy day, a van encountered an accident at Griffin Gate due to driver distraction due to mobile phone. The road was icy, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
6d6ac70b-9923-4b18-8e6c-254da9e583bf,2024-07-06 00:36:30,Sunshadow Bridge,Auto Rickshaw,Snowy,Icy,Poor visibility in fog,"On a snowy day, a auto rickshaw encountered an accident at Sunshadow Bridge due to poor visibility in fog. The road was icy, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
2ab5b578-7236-43de-abb3-a972b78d4d58,2024-08-08 07:44:30,Nova Square,Bus,Overcast,Damaged,Brake failure on descent,"On a overcast day, a bus encountered an accident at Nova Square due to brake failure on descent. The road was damaged, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
1c687b78-7a8e-419a-be61-1d1eaa410dc1,2023-12-18 11:27:30,Zephyr Lane,SUV,Clear,Damaged,Brake failure on descent,"On a clear day, a suv encountered an accident at Zephyr Lane due to brake failure on descent. The road was damaged, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
4f4ebf0e-56cf-4a0f-9399-8dbf207a1973,2025-01-04 10:21:30,Holloway Tunnel,Bus,Clear,Wet,Over-speeding vehicle,"On a clear day, a bus encountered an accident at Holloway Tunnel due to over-speeding vehicle. The road was wet, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
11622409-e732-4ac6-a563-d95f8cef6419,2024-03-15 15:38:30,Radiant Gardens Curve,SUV,Windy,Wet,Over-speeding vehicle,"On a windy day, a suv encountered an accident at Radiant Gardens Curve due to over-speeding vehicle. The road was wet, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
aec8211b-6083-4eed-96d4-0ae9586be662,2023-06-19 07:11:30,Moonvale Cross,Van,Stormy,Dry,Poor visibility in fog,"On a stormy day, a van encountered an accident at Moonvale Cross due to poor visibility in fog. The road was dry, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
7b5cb459-d83b-47e4-a469-e821dc5ee494,2025-05-05 11:43:30,Griffin Gate,Auto Rickshaw,Stormy,Icy,Poor visibility in fog,"On a stormy day, a auto rickshaw encountered an accident at Griffin Gate due to poor visibility in fog. The road was icy, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
82394b53-e5bc-47e6-bcf0-057e78fe3cac,2023-11-01 22:03:30,Stormfall Plaza,SUV,Snowy,Oily,Driver distraction due to mobile phone,"On a snowy day, a suv encountered an accident at Stormfall Plaza due to driver distraction due to mobile phone. The road was oily, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
ccd3f501-9f0b-4605-bdb2-d081df9e29d9,2024-09-06 11:43:30,Crimson Bend,Car,Foggy,Oily,Brake failure on descent,"On a foggy day, a car encountered an accident at Crimson Bend due to brake failure on descent. The road was oily, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
2013a3c1-bc86-4e1e-9725-37bc78a353e8,2025-02-18 01:04:30,Moonvale Cross,Car,Overcast,Oily,Driver distraction due to mobile phone,"On a overcast day, a car encountered an accident at Moonvale Cross due to driver distraction due to mobile phone. The road was oily, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
576c218d-7b04-48ed-99b8-feaba0b2c430,2023-08-31 23:18:30,Velora Market Lane,Van,Snowy,Dry,Over-speeding vehicle,"On a snowy day, a van encountered an accident at Velora Market Lane due to over-speeding vehicle. The road was dry, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
cc4c74f0-9533-4735-abdc-8dde1de6cea3,2024-08-22 03:43:30,Quartz Hill Road,SUV,Foggy,Under Maintenance,Brake failure on descent,"On a foggy day, a suv encountered an accident at Quartz Hill Road due to brake failure on descent. The road was under maintenance, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
8c42d4ef-d063-469f-b93a-5a36733574c1,2023-12-26 21:21:30,Holloway Tunnel,Auto Rickshaw,Overcast,Damaged,Collision due to sudden lane change,"On a overcast day, a auto rickshaw encountered an accident at Holloway Tunnel due to collision due to sudden lane change. The road was damaged, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
7db9da1f-ab5f-4a18-b60d-e0088e08c89f,2023-12-25 05:31:30,Maplewood Junction,Truck,Windy,Under Maintenance,Improper signage near construction site,"On a windy day, a truck encountered an accident at Maplewood Junction due to improper signage near construction site. The road was under maintenance, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
5b847c26-4572-4495-81b6-1e2d43e23fc1,2024-12-29 14:24:30,Northbridge Avenue,Bus,Foggy,Damaged,Brake failure on descent,"On a foggy day, a bus encountered an accident at Northbridge Avenue due to brake failure on descent. The road was damaged, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
293624ac-0dd9-4720-9dbd-e694fa920eb7,2024-03-01 18:56:30,Silverlake Roundabout,Van,Snowy,Oily,Improper signage near construction site,"On a snowy day, a van encountered an accident at Silverlake Roundabout due to improper signage near construction site. The road was oily, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
687dcee5-5b2e-4988-9c3c-30367ff0434c,2025-02-03 08:32:30,Holloway Tunnel,Truck,Clear,Wet,Poor visibility in fog,"On a clear day, a truck encountered an accident at Holloway Tunnel due to poor visibility in fog. The road was wet, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
c57279c0-57c3-4d09-b5c4-36b7d0ccd4b1,2025-03-21 00:54:30,Maplewood Junction,Car,Rainy,Dry,Improper signage near construction site,"On a rainy day, a car encountered an accident at Maplewood Junction due to improper signage near construction site. The road was dry, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
7c971439-2167-4a5c-9af5-4362c0483b56,2024-12-09 09:12:30,Holloway Tunnel,Auto Rickshaw,Rainy,Icy,Sharp curve without warning signs,"On a rainy day, a auto rickshaw encountered an accident at Holloway Tunnel due to sharp curve without warning signs. The road was icy, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
ae41dd23-2cd6-4c66-b96a-91b193357962,2024-08-19 01:35:30,Sunshadow Bridge,Van,Rainy,Wet,Animal crossing unexpectedly,"On a rainy day, a van encountered an accident at Sunshadow Bridge due to animal crossing unexpectedly. The road was wet, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
3e016170-660e-493d-b990-c9ef000dc150,2024-05-02 16:59:30,Quartz Hill Road,Auto Rickshaw,Snowy,Damaged,Brake failure on descent,"On a snowy day, a auto rickshaw encountered an accident at Quartz Hill Road due to brake failure on descent. The road was damaged, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
c57992de-3989-44a1-a6aa-c85b090da0f2,2023-07-17 20:56:30,Quartz Hill Road,SUV,Foggy,Wet,Slippery road due to rain,"On a foggy day, a suv encountered an accident at Quartz Hill Road due to slippery road due to rain. The road was wet, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
2b5e58a0-9be6-495f-a613-888e4c5d91c1,2024-03-29 11:44:30,Maplewood Junction,Bike,Stormy,Wet,Driver distraction due to mobile phone,"On a stormy day, a bike encountered an accident at Maplewood Junction due to driver distraction due to mobile phone. The road was wet, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
f6e95b75-2eef-4887-a86b-0cc1035c7eb0,2023-06-07 20:40:30,Lumen Creek Boulevard,Van,Stormy,Under Maintenance,Animal crossing unexpectedly,"On a stormy day, a van encountered an accident at Lumen Creek Boulevard due to animal crossing unexpectedly. The road was under maintenance, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
36483477-6cfe-4080-9f02-11b5591def09,2023-08-30 03:11:30,Velora Market Lane,Bus,Snowy,Icy,Improper signage near construction site,"On a snowy day, a bus encountered an accident at Velora Market Lane due to improper signage near construction site. The road was icy, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
37a22477-f483-496f-9fa9-18119840c501,2025-03-12 20:20:30,Northbridge Avenue,Auto Rickshaw,Clear,Icy,Improper signage near construction site,"On a clear day, a auto rickshaw encountered an accident at Northbridge Avenue due to improper signage near construction site. The road was icy, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
2ee523c9-e653-4b25-9d89-4398ab1b0723,2025-01-01 13:22:30,Nova Square,Van,Foggy,Icy,Poor visibility in fog,"On a foggy day, a van encountered an accident at Nova Square due to poor visibility in fog. The road was icy, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
8de8e7b7-9b11-4ce9-bbf5-54c50481b25a,2024-07-18 02:19:30,Quartz Hill Road,Van,Windy,Wet,Improper signage near construction site,"On a windy day, a van encountered an accident at Quartz Hill Road due to improper signage near construction site. The road was wet, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
77b2e097-9cda-461e-8a9c-8fd3f9b777db,2023-06-28 22:50:30,Northbridge Avenue,Bus,Overcast,Icy,Potholes causing vehicle imbalance,"On a overcast day, a bus encountered an accident at Northbridge Avenue due to potholes causing vehicle imbalance. The road was icy, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
023ef416-abc4-48b0-89df-8629a99b4409,2024-09-24 02:33:30,Lumen Creek Boulevard,Auto Rickshaw,Foggy,Wet,Sharp curve without warning signs,"On a foggy day, a auto rickshaw encountered an accident at Lumen Creek Boulevard due to sharp curve without warning signs. The road was wet, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
